lat,lng,pred
38.5,-120.8,57.77145103880027
38.516,-120.8,58.288066169432504
38.533,-120.8,58.774673779821015
38.549,-120.8,59.359491379623094
38.565,-120.8,59.77735148251114
38.582,-120.8,60.29697350358267
38.598,-120.8,60.763233389563304
38.614,-120.8,61.25744366724217
38.631,-120.8,61.703633795185965
38.647,-120.8,62.14271168732761
38.663,-120.8,62.574602481968164
38.68,-120.8,63.05173981268403
38.696,-120.8,63.44047489038074
38.712,-120.8,63.83384592503383
38.729,-120.8,64.20922544622186
38.745,-120.8,64.62151550153038
38.761,-120.8,65.01766971836719
38.778,-120.8,65.45638909501233
38.794,-120.8,65.83174869430489
38.81,-120.8,66.1947428036645
38.827,-120.8,66.62449310790025
38.843,-120.8,67.00428795323437
38.859,-120.8,67.4290423536919
38.876,-120.8,67.85409936892665
38.892,-120.8,68.17054491579627
38.908,-120.8,68.56921777003576
38.924,-120.8,68.95767462502165
38.941,-120.8,69.44018030319695
38.957,-120.8,69.82143006065805
38.973,-120.8,70.23804917746105
38.99,-120.8,70.72253274474706
39.006,-120.8,71.17528880371214
39.022,-120.8,71.65464044502833
39.039,-120.8,72.04692135154258
39.055,-120.8,72.54011713151536
39.071,-120.8,73.03039159432701
39.088,-120.8,73.54393332640721
39.104,-120.8,74.09433903605368
39.12,-120.8,74.5845468595071
39.137,-120.8,75.09916856473649
39.153,-120.8,75.63962645523361
39.169,-120.8,76.16157828483121
39.186,-120.8,76.75353146521327
39.202,-120.8,77.33023321901757
39.218,-120.8,77.80771823712976
39.235,-120.8,78.45389813021299
39.251,-120.8,78.95517994483117
39.267,-120.8,79.53721362754781
39.284,-120.8,80.10439480018192
39.3,-120.8,80.68872082720928
38.5,-120.78,59.57258831450839
38.516,-120.78,60.0485136783681
38.533,-120.78,60.63688907024667
38.549,-120.78,61.0560185346039
38.565,-120.78,61.566242282545225
38.582,-120.78,62.089984429664426
38.598,-120.78,62.497886083606566
38.614,-120.78,63.011956021649794
38.631,-120.78,63.34738297725582
38.647,-120.78,63.8994228536956
38.663,-120.78,64.28791735408181
38.68,-120.78,64.74517918065153
38.696,-120.78,65.13659840742166
38.712,-120.78,65.52464193298215
38.729,-120.78,65.94614704249182
38.745,-120.78,66.35722823775266
38.761,-120.78,66.78115074881403
38.778,-120.78,67.13964318981543
38.794,-120.78,67.48750486301573
38.81,-120.78,67.89423732926114
38.827,-120.78,68.3100249949716
38.843,-120.78,68.66876092197268
38.859,-120.78,69.07700220141608
38.876,-120.78,69.52476390891225
38.892,-120.78,69.8580227003194
38.908,-120.78,70.18386600592554
38.924,-120.78,70.5875682887131
38.941,-120.78,71.04473904205773
38.957,-120.78,71.41254019085147
38.973,-120.78,71.81195100065666
38.99,-120.78,72.19026352673347
39.006,-120.78,72.68384346610269
39.022,-120.78,73.13475570853801
39.039,-120.78,73.61219976508502
39.055,-120.78,74.02741979072049
39.071,-120.78,74.50100903238673
39.088,-120.78,75.00393511200102
39.104,-120.78,75.44109595973698
39.12,-120.78,75.98611240555549
39.137,-120.78,76.45363682467449
39.153,-120.78,76.92414920826936
39.169,-120.78,77.53413635472783
39.186,-120.78,78.06953772623547
39.202,-120.78,78.58833129365428
39.218,-120.78,79.06241551487015
39.235,-120.78,79.64771819592471
39.251,-120.78,80.18673241817284
39.267,-120.78,80.70285781755747
39.284,-120.78,81.32229332256902
39.3,-120.78,81.85901831755945
38.5,-120.759,61.38886450608686
38.516,-120.759,61.91840482712451
38.533,-120.759,62.41136332550845
38.549,-120.759,62.964491780285684
38.565,-120.759,63.379042372396405
38.582,-120.759,63.91026233523151
38.598,-120.759,64.37321469437629
38.614,-120.759,64.79330530646118
38.631,-120.759,65.25605084070187
38.647,-120.759,65.69404502817
38.663,-120.759,66.11411691406413
38.68,-120.759,66.62937727607277
38.696,-120.759,66.96349468022972
38.712,-120.759,67.41924472006926
38.729,-120.759,67.73570989412447
38.745,-120.759,68.16747785534388
38.761,-120.759,68.53531276444303
38.778,-120.759,68.83686434791694
38.794,-120.759,69.26311986275941
38.81,-120.759,69.63586969263405
38.827,-120.759,70.06448734213599
38.843,-120.759,70.38387697965679
38.859,-120.759,70.73329869444719
38.876,-120.759,71.16330579350328
38.892,-120.759,71.57170974313048
38.908,-120.759,71.9146279309004
38.924,-120.759,72.36654725482228
38.941,-120.759,72.7153316842224
38.957,-120.759,73.09066261145227
38.973,-120.759,73.45411002841225
38.99,-120.759,73.84240441328144
39.006,-120.759,74.28130299329433
39.022,-120.759,74.71139141725865
39.039,-120.759,75.13379956545825
39.055,-120.759,75.56173912509077
39.071,-120.759,76.02801637018926
39.088,-120.759,76.54459654487229
39.104,-120.759,76.87614567785103
39.12,-120.759,77.3689575974237
39.137,-120.759,77.90929114836258
39.153,-120.759,78.35206706425014
39.169,-120.759,78.87343623503058
39.186,-120.759,79.29006474581469
39.202,-120.759,79.88172078821523
39.218,-120.759,80.38060999299303
