2010-10-09 18:52:58,40.810992,-74.080989,I'm at Giants Stadium. http://4sq.com/a5PKNm
2010-10-09 19:00:12,40.833041,-74.088532,I'm at Five Guys Burgers & Fries w/ @glgj. http://4sq.com/8lUc3o
2010-10-09 20:40:04,40.977326,-74.076834,Just Tweeting this to see if my NEW Twitter pic is up yet. (pic of myself & Dan Didio)
2010-10-10 05:25:25,40.971642,-74.077196,I'm at Paramus (Paramus). http://4sq.com/cCKZ8q
2010-10-10 07:19:26,40.966277,-74.078100,I'm at Dunkin' Donuts (By Party City) (669 route 17 south, Paramus). http://4sq.com/8XeS2e
2010-10-10 07:27:01,40.966562,-74.078211,On my way for the last day :-( of  #NYCC :.-.(...
2010-10-10 08:13:50,40.758254,-74.000227,I'm at Jacob Javis Center (455-473 11th Ave, New York). http://4sq.com/d3OzJ5
2010-10-10 08:27:22,40.756092,-74.008778,HECK YEA! Got another @Marvel Super Hero Squad you set!. . . . . Yes, I know there're for kids. But there so damn cute! LoL  #NYCC
2010-10-10 08:33:06,40.756092,-74.008778,I think there's a group of guys trading their @Marvel Super Hero Squad in the line. To bad there in the front of the line. :-(   #NYCC
2010-10-10 11:15:20,40.756092,-74.008778,Hey! Let try & get Tex to sign his Art book again. . . again. LoL
2010-10-10 11:25:29,40.756130,-74.005496,DAMN! Tex isn't here yet! :-(
2010-10-10 16:51:26,40.759594,-73.997206,@alexisamore I have missed you so much too! Happy your back :-)
2010-10-10 17:15:16,40.759685,-73.997370,Well #NYCC, it was fun. . . . great. . . amazing. .  . F'N AWESOME TIME! Can't wait for next year!
2010-10-10 17:20:16,40.764551,-74.013863,I'm at Lincoln Tunnel (Route 495, New York) w/ 12 others. http://4sq.com/310F9A
2010-10-10 17:46:17,40.971642,-74.077196,I'm at Paramus (Paramus). http://4sq.com/cCKZ8q
2010-10-10 18:32:56,40.976592,-74.075955,Best part of #NYCC for me? Having Giuseppe Camuncoli, Stefano Landini & a friend of theirs ask me. . . ASK ME if they can have a pic w/ me!
2010-10-10 18:33:59,40.976592,-74.075955,They said that I look just like a friend of theirs & wanted to take a pic with me! I was shocked & happy to have my pic taking with them.
2010-10-10 18:35:28,40.976592,-74.075955,I took tons of pic at #NYCC & will be "tweeting", some of them, later tonight.
2010-10-11 04:48:22,40.964878,-74.078556,Was going to try & wake up around 5:30 or 6am, but me cat (Sandy) had other plans. Long boxes vs her claws = I get up NOW! LoL
2010-10-11 07:31:27,40.964878,-74.078556,Before I forget, I want to thank the 2 guys that were in line w/me for Giuseppe Camuncoli & Stefano Landini @ #NYCC. They helped me out--&gt;
2010-10-11 07:33:29,40.964878,-74.078556,--&gt; W/ what Giuseppe was doing on HELLBLAZER. I only knew of his work on Dark Wolverine. But once done w/ the sketch, I found 2 TPB @ #NYCC
2010-10-11 10:11:48,40.966277,-74.078100,I'm at Dunkin' Donuts (By Party City) (669 route 17 south, Paramus). http://4sq.com/8XeS2e
2010-10-11 10:29:45,40.827052,-74.097134,I'm at TD Bank (71 Union Avenue, East Rutherford). http://4sq.com/5h10VU
2010-10-11 10:41:59,40.827215,-74.097126,It's 10:40 & I'm not at work?! .  . . . That's right! My a$$ took off today!. . . . . . I'm so going to hate tomorrow.
2010-10-11 10:47:11,40.792629,-74.041886,I'm at Walmart - Secaucus (400 Park Place, Secaucus). http://4sq.com/5SYTKQ
2010-10-11 10:57:33,40.802045,-74.034548,Wondering if I would like seeing Constantine?
2010-10-11 11:35:33,40.790378,-74.043708,I'm at McDonald's (400 Park Plaza Drive, Secaucus). http://4sq.com/b8NLpB
2010-10-11 12:05:40,40.971642,-74.077196,I'm at Paramus (Paramus). http://4sq.com/cCKZ8q
2010-10-11 12:22:56,40.964878,-74.078556,Off to mow the front yard, then will post the sketches I got at #NYCC
2010-10-11 18:54:12,40.986905,-74.056633,Just read @ErikJLarsen Sava. . . . EMPEROR Dragon #164 & truly enjoyed it. PLUS love Twisted Savage Dragon Funnies too! Great job Mr. Larsen
2010-10-11 18:55:37,40.986905,-74.056633,LMAO! RT @TheRealMorrison: WWE RAW tonight at 9 on USA! No cable? RT @BarackObama: There’s still time to find a house party near you
2010-10-11 19:03:31,40.968253,-74.078659,@robertliefeld & @imagecomics I so want a collection of Fighting American, from the Awesome comic line. Can that happen?
2010-10-11 19:06:42,40.968253,-74.078659,Watching @aots on @g4tv Why? Because the @MythBusters will be on it!
2010-10-12 05:21:37,40.968253,-74.078659,Watching @wwe Smackdown from last friday. Yea, I know. I've been a little busy w/ NYCC to watch it over the weekend.
2010-10-12 05:29:07,40.968253,-74.078659,WHOLLY $HIT! @WWEgames Smackdown vs Raw 2011 comes out in 2 week! I CAN'T WAIT!
2010-10-12 05:38:16,40.968253,-74.078659,Why is it every time I watch @wwe Kelly Kelly wrestle, I always worry that she may really get hurt?
2010-10-12 05:56:09,40.968253,-74.078659,$HIT! @GLGJ, I just remembered that I never did my DCBS order!
2010-10-12 07:46:30,40.810508,-74.114927,My head feels like it's in slow motion, but my body feels like it's being fast forward?
2010-10-12 07:56:51,40.805823,-74.107776,I'm at Theory LLC (165 Polito Ave, Lyndhurst). http://4sq.com/a2M7eK
2010-10-12 08:40:00,40.814359,-74.106663,Tom-Tom just came up to ask how NYCC was & then say did you see anything for V? Told him what I saw, then he came back again for more Info
2010-10-12 08:40:59,40.814359,-74.106663,I bet he'll be back again . . . . & again to see if I remember anything else.
2010-10-12 10:05:17,40.809879,-74.114661,My body misses NYCC or I'm getting sick. Ether way, I'm heading home.
2010-10-12 11:09:00,40.971642,-74.077196,I'm at Paramus (Paramus). http://4sq.com/cCKZ8q
2010-10-12 11:23:49,40.976859,-74.076097,Was at @GameStop, in East Rutherford (NJ) to pick up Lucha Libre AAA & the sales clerk was very helpful.This is my FAVORITE Gamestop 2 go 2!
2010-10-12 17:32:22,40.968512,-74.076977,Watching @wwe Raw from last night.
2010-10-12 17:46:30,40.968512,-74.076977,WHOLLY F'N $HIT! John Morrison vs Tyson Kidd, from @wwe Raw last night, was an amazing match!
2010-10-12 20:33:23,40.968512,-74.076977,Watching the Incredibles on Disney. Yuppers, that's how I roll on a tuesday night. LoL
2010-10-13 09:46:57,40.969136,-74.077048,Lucha Libre AAA kinda looks like TNA impact, but better graphics. Just not a lout of moves for CAW. But still, it's a sweet game.
2010-10-14 06:41:23,40.969136,-74.077048,WOW! That's an amazing sketch! RT @ycinar: TIMBERWOLF sketch from NYCC 2010 ! http://twitpic.com/2xhw60
2010-10-14 08:08:36,40.805823,-74.107776,I just became the mayor of Theory LLC on @foursquare! http://4sq.com/a2M7eK
2010-10-14 12:07:09,40.815366,-74.106209,:-) That's my Sandy RT @Ladycatc: (sigh) I really wanted to hang up my shirts so they didn't wrinkle http://yfrog.com/2hssvwj
2010-10-14 12:12:47,40.815338,-74.104913,On lunch. Red Bull in one hand, Spider-Man Noir: Eyes Without a Face on the other.
2010-10-14 12:14:37,40.815338,-74.104913,I'm freezing in the warehouse, but warm outside?
2010-10-14 16:32:17,40.815366,-74.106209,Yea! It's raining & I'm sick. Walking will be fun. :-( LoL
2010-10-14 17:23:35,40.827052,-74.097134,I'm at TD Bank (71 Union Avenue, East Rutherford). http://4sq.com/5h10VU
2010-10-14 17:23:35,40.827052,-74.097134,I just ousted Carmen M. as the mayor of TD Bank on @foursquare! http://4sq.com/5h10VU
2010-10-14 18:00:38,40.933732,-74.132998,I'm at joker's child w/ @glgj. http://4sq.com/a0E2TD
2010-10-14 18:41:31,40.979064,-74.083475,I'm at Stop & Shop (875 rt. 17, Paramus). http://4sq.com/aK6KGv
2010-10-14 19:31:43,40.968299,-74.078461,I'm at Home (Paramus). http://4sq.com/9cso4o
2010-10-14 20:05:49,40.968299,-74.078461,RT @WWEgames: Today we reveal Mickie James and Chris Masters in our WWE SmackDown vs Raw 2011 Roster Reveal! http://bit.ly/aqztln
2010-10-14 21:20:59,40.968299,-74.078461,Just read Lady Death Premiere (FREE issue!) from Boundless/Avatar Press &  got to say it was good. Brought me back to when I 1st read her.
2010-10-14 21:34:13,40.967530,-74.081705,Just #DCreader Brightest Day #11, WTF?Deathstorm grabs the White Lantern & makes 12 dead Black Lanterns come back?Can't wait for next issue!
2010-10-15 07:55:48,40.805823,-74.107776,I'm at Theory LLC (165 Polito Ave, Lyndhurst). http://4sq.com/a2M7eK
2010-10-15 08:01:22,40.815366,-74.106209,It's funny, it seem to be that I am the only one who can count at work?
2010-10-15 08:59:50,40.815366,-74.106209,T-Boss just spent 30 min talking about last nights @TNAonline. Sounded like a really good show. Glad I DvRed it.
2010-10-15 12:07:01,40.814138,-74.106731,On lunch. Green Lantern #58 in one hand & a V8 IN THE OTHER. . . .What?!?!
2010-10-15 12:50:08,40.814138,-74.106731,Need to find a sweeter that feels like a teddy bear(?) & will keep you really warm. . . . . ?
2010-10-15 12:57:35,40.814138,-74.106731,Either my friend wants me to kill  Winnie the poop or she wants a pet bear?
2010-10-15 16:41:55,40.816775,-74.104411,Wishing I charged me iPod last night & NOT THIS MORNING! Yea I know, iPhone has an iPod app. But I don't have any headphones! :-(
